city,county,GEOFIPS10,lat,long
"Pine Bluff, AR",Jefferson County,5069,34.216428,-92.026119
"Durango, CO",La Plata County,8067,37.286991,-107.875932
"Grinnell, IA",Poweshiek County,19157,,
"Pittsburgh, KS",Crawford County,20037,37.408972,-94.690868
"Emporia, KS",Lyon County,20111,38.408077,-96.190921
"Pikeville, KY",Pike County,21195,37.483239,-82.515643
"Waterville, ME",Kennebec County,23011,44.550863,-69.630271
"Traverse City, MI",Grand Traverse County,26055,44.762503,-85.612554
"Marquette, MI",Marquette County,26103,46.557091,-87.393396
"Red Wing, MN",Goodhue County,27049,44.583278,-92.585237
"Cape Girardeau, MO",Cape Girardeau County,29031,37.31155,-89.54547
"Taos, NM",Taos County,35055,36.3929,-105.582723
"Wilson, NC",Wilson County,37195,35.734057,-77.927822
"Portsmouth, OH",Scioto County,39145,38.734663,-82.992342
"Ada, OK",Pontotoc County,40123,34.778595,-96.674599
"Independence, OR",Polk County,41053,44.85348,-123.193951
"Cedar City, UT",Iron County,49021,37.683902,-113.080762
"Springfield, VT",Windsor County,50027,43.299679,-72.483607
"Staunton, VA",Agustuta County,51015,38.152114,-79.073556
"Platteville, WI",Grant County,55043,42.734072,-90.476491
